centre_code,centre_name,city,state,pin,lat,lon,pin_place,pin_state,source
IND500039AAD,Hyderabad_Uppal_L (Telangana),Hyderabad,Telangana,500039,17.27435,78.4442,"Peerzadiguda, Uppal (K.V.Rangareddy)",Telangana,geonames-pin
IND400701AAB,Mumbai_Pawane_L (Maharashtra),Mumbai,Maharashtra,400701,19.1167,72.9833,Ghansoli,Maharashtra,geonames-pin
IND781018AAA,Guwahati_East (Assam),Guwahati,Assam,781018,26.118,91.4061,Binovanagar,Assam,geonames-pin
IND781102AAA,Hajo_Sardala_D (Assam),Hajo,Assam,781102,26.194194444444445,91.567,"Tokradia, Ramdia, Hajo, Uzankuri, Kalitakuchi, Akadi, Nampara Majarkuri, Topabari, Kuwarpur, Bagta, Bhelkarbazar, Borni, Dampur, Gerua, Hablaka, Khapenikuchi, Khetri Hardia, Soniadi",Assam,geonames-pin
IND562108AAA,Gauribidanur_Gurukrpa_D (Karnataka),Gauribidanur,Karnataka,562108,12.920027272727276,77.14563636363636,"Abbur, Gowdagere, Honnayakanahalli, Mogenahalli, Mankunda, Kanva, Bevurmandya, Makali, Bevur (Ramanagar), Nagavara, Kyasapura",Karnataka,geonames-pin
IND421301AAA,Mumbai_Kalyan West _Dc (Maharashtra),Mumbai,Maharashtra,421301,19.2166,73.2176,"Subhash Road (Thane), Kalyan D.C., Kalyan City H.O, Kalyan Rs",Maharashtra,geonames-pin
IND458990AAA,Sitamau_Central_DPP_1 (Madhya Pradesh),Sitamau,Madhya Pradesh,458990,24.17849166666667,75.4038,"Dhiknia, Kheda, Saktali, Rathana, Rawta, Bilantri, Kheta Kheda, Khejdia, Mahua, Basai, Sitamau, Titrod",Madhya Pradesh,geonames-pin
IND431001AAB,Aurangabad_Pratpngr_D (Maharashtra),Aurangabad,Maharashtra,431001,20.0291,75.2816,"Saraswati Colony, Shahaganj (Aurangabad), Samarthnagar, Fazalpura, Medical College (Aurangabad), Aurangabad City, Aurangabad (MH) H.O",Maharashtra,geonames-pin
IND110083AAA,Delhi_Mangol_DC (Delhi),Delhi,Delhi,110083,28.7441,77.0732,"Mangolpuri A Block, Mangolpuri N Block, Mangolpuri S Block, Mangolpuri I  Block",Delhi,geonames-pin
IND571124AAA,Tirumakudalu_Narasipr_D (Karnataka),Tirumakudalu,Karnataka,571124,12.20119411764706,76.52125882352941,"Vatalu, Kanahalli, Nilasoge, Byrapura, Hosa Alagodu, T Narasipura, Kurubur, Bannahalli Hundi, Hiriyur, Ganaganur, Banahalli, Danaikanapura, Karuhatti, Hyakanur, Kiragasur, Thayur, Muguru",Karnataka,geonames-pin
IND151506AAA,Jhunir_BhaRDDPP_D (Punjab),Jhunir,Punjab,151506,29.797646153846152,75.33692307692307,"Chenewala, Kusla, Fatta Maluka, Fatehpur, Malkon, Lallian Wali, Moffar, Hingna, Ghuddu Wala, Jhanduke, Adamke, Jhunir, Jatana Kalan",Punjab,geonames-pin
